date_of_extract	organisation_number	registered_charity_number	linked_charity_number	charity_name	charity_type	charity_registration_status	date_of_registration	date_of_removal	charity_reporting_status	latest_acc_fin_period_start_date	latest_acc_fin_period_end_date	latest_income	latest_expenditure	charity_contact_address1	charity_contact_address2	charity_contact_address3	charity_contact_address4	charity_contact_address5	charity_contact_postcode	charity_contact_phone	charity_contact_email	charity_contact_web	charity_company_registration_number	charity_insolvent	charity_in_administration	charity_previously_excepted	charity_is_cdf_or_cif	charity_is_cio	cio_is_dissolved	date_cio_dissolution_notice	charity_activities	charity_gift_aid	charity_has_land
2026-03-25 00:00:00.0000000	1	200027	1	POTTERNE MISSION ROOM AND TRUST		Removed	1962-05-17 00:00:00.0000000	2014-04-16 00:00:00.0000000																False	False								
2026-03-25 00:00:00.0000000	2	200027	2	HITCHAM FREE CHURCH		Registered	1962-05-17 00:00:00.0000000																	False	False								
2026-03-25 00:00:00.0000000	3	200028	1	TOWN LANDS CHARITY FOR THE POOR		Removed	1961-10-19 00:00:00.0000000	1997-09-17 00:00:00.0000000																False	False								
2026-03-25 00:00:00.0000000	4	200028	2	TOWN LANDS CHARITY FOR THE CHURCH		Removed	1961-10-19 00:00:00.0000000	1997-09-17 00:00:00.0000000																False	False								
2026-03-25 00:00:00.0000000	5	200034	1	CLOPHILL RELIEF IN NEED CHARITY		Registered	1972-07-19 00:00:00.0000000																	False	False								
2026-03-25 00:00:00.0000000	6	200034	5	MARL ALLOTMENT		Registered	1961-07-07 00:00:00.0000000																	False	False								
2026-03-25 00:00:00.0000000	7	200037	1	GEORGE DUNCUMB'S CHARITY FOR THE PARISH CLERK		Removed	1961-11-14 00:00:00.0000000	1998-09-07 00:00:00.0000000																False	False								
2026-03-25 00:00:00.0000000	8	200037	2	HARRIET GROTE'S ECCLESIASTICAL CHARITY		Removed	1961-11-14 00:00:00.0000000	1995-11-21 00:00:00.0000000																False	False								
2026-03-25 00:00:00.0000000	9	200037	3	CHARLES HAMMOND (OTHERWISE PALMER)		Removed	1961-11-14 00:00:00.0000000	1995-11-21 00:00:00.0000000																False	False								
2026-03-25 00:00:00.0000000	10	200037	4	EDWARD WOOD		Removed	1961-11-14 00:00:00.0000000	1995-11-21 00:00:00.0000000																False	False								
2026-03-25 00:00:00.0000000	11	200040	1	THOMAS CARTER AND ANN MORDAUNT		Registered	1961-06-29 00:00:00.0000000																	False	False								
2026-03-25 00:00:00.0000000	12	200040	2	CHARLES HIGGINS FOR CLOTHING		Registered	1961-06-29 00:00:00.0000000																	False	False								
2026-03-25 00:00:00.0000000	13	200040	3	ANN MARIA HIGGINS FOR POOR		Registered	1961-06-29 00:00:00.0000000																	False	False								
2026-03-25 00:00:00.0000000	14	200040	4	JOHN ROBINSON		Registered	1961-06-29 00:00:00.0000000																	False	False								
2026-03-25 00:00:00.0000000	15	200040	5	EARL OF MORDAUNT		Registered	1961-06-29 00:00:00.0000000																	False	False								
2026-03-25 00:00:00.0000000	16	200040	6	TURVEY POORS LAND		Registered	1961-06-29 00:00:00.0000000																	False	False								
2026-03-25 00:00:00.0000000	17	200043	1	HENRY SMITH		Registered	1961-07-05 00:00:00.0000000																	False	False								
2026-03-25 00:00:00.0000000	18	200043	2	MICHAEL EARLE		Registered	1961-07-14 00:00:00.0000000																	False	False								
2026-03-25 00:00:00.0000000	19	200047	1	CLEMENT MARSLAND'S CHARITY		Registered	1967-11-15 00:00:00.0000000																	False	False								
2026-03-25 00:00:00.0000000	20	200047	2	HENRY SMITH'S CHARITY (SHARE)		Registered	1967-11-15 00:00:00.0000000																	False	False								
2026-03-25 00:00:00.0000000	21	200047	3	JOHN ATTERTON		Registered	1967-11-15 00:00:00.0000000																	False	False								
2026-03-25 00:00:00.0000000	22	200047	4	THE REVEREND ROBERT HANCOCK'S CHARITY		Registered	1967-11-15 00:00:00.0000000																	False	False								
2026-03-25 00:00:00.0000000	23	200047	5	FATHERLESS GIRLS FUND (ELIZABETH HUTCHINSON'S CHARITY)		Registered	1967-11-15 00:00:00.0000000																	False	False								
2026-03-25 00:00:00.0000000	24	200047	6	WIDOWS FUND (REV ROBERT HANCOCK'S CHARITY)		Registered	1967-11-15 00:00:00.0000000																	False	False								
2026-03-25 00:00:00.0000000	25	200056	1	JANE LINWOOD		Registered	1961-06-20 00:00:00.0000000																	False	False								
